--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
027.937  000.165  000.074: require('mason-lspconfig')
028.306  000.103  000.103: require('mason.api.command')
028.451  000.086  000.086: require('mason-core.async')
028.596  000.072  000.072: require('mason-core.async.control')
028.669  000.072  000.072: require('mason-core.result')
028.873  000.085  000.085: require('mason-core.async.uv')
028.877  000.207  000.122: require('mason-core.fs')
028.974  000.522  000.171: require('mason-registry.installer')
029.179  000.068  000.068: require('mason-core.optional')
029.446  000.107  000.107: require('mason-core.process')
029.521  000.074  000.074: require('mason-core.spawn')
029.523  000.252  000.071: require('mason-core.installer.managers.powershell')
029.525  000.345  000.092: require('mason-core.fetch')
029.591  000.065  000.065: require('mason-core.providers')
029.936  000.134  000.134: require('mason-core.purl')
029.941  000.212  000.078: require('mason-core.package.AbstractPackage')
030.368  000.112  000.112: require('mason-core.installer.compiler.expr')
030.373  000.237  000.125: require('mason-core.installer.compiler.link')
030.780  000.068  000.068: require('mason-core.installer.context.InstallContextCwd')
030.918  000.071  000.071: require('mason-core.installer.context.InstallContextFs')
030.985  000.066  000.066: require('mason-core.installer.context.InstallContextSpawn')
031.058  000.071  000.071: require('mason-core.receipt')
031.096  000.465  000.189: require('mason-core.installer.context')
031.097  000.530  000.065: require('mason-core.installer')
031.105  000.626  000.096: require('mason-core.installer.managers.std')
031.107  000.733  000.107: require('mason-core.installer.compiler.schemas')
031.183  000.075  000.075: require('mason-core.installer.compiler.util')
031.192  001.172  000.127: require('mason-core.installer.compiler')
031.290  000.097  000.097: require('mason-core.installer.linker')
031.294  001.352  000.083: require('mason-core.installer.InstallRunner')
031.375  000.080  000.080: require('mason-core.installer.UninstallRunner')
031.382  001.725  000.081: require('mason-core.package')
031.384  001.791  000.067: require('mason-registry.sources.util')
031.392  002.358  000.089: require('mason-registry.sources.github')
035.718  000.005  000.005: require('vim.F')
035.874  000.074  000.074: require('mason-lspconfig.mappings')
035.877  000.157  000.083: require('mason-lspconfig.features.automatic_enable')
040.332  000.116  000.116: require('vim.lsp.log')
040.970  000.636  000.636: require('vim.lsp.protocol')
041.114  000.142  000.142: require('vim.lsp.util')
041.270  000.080  000.080: require('vim.lsp.sync')
041.279  000.163  000.084: require('vim.lsp._changetracking')
041.479  000.101  000.101: require('vim.lsp._transport')
041.489  000.209  000.108: require('vim.lsp.rpc')
041.533  001.441  000.175: require('vim.lsp')
069.859  000.133  000.133: require('mason-lspconfig.notify')
069.883  000.330  000.196: require('mason-lspconfig.api.command')
070.775  000.087  000.087: sourcing /Users/mattjennings/.local/share/nvim/lazy/ranger.vim/plugin/ranger.vim
070.777  000.121  000.034: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
070.784  000.001  000.001: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
070.796  000.001  000.001: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
071.135  000.001  000.001: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
071.150  000.001  000.001: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
071.311  000.001  000.001: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
071.326  000.001  000.001: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
071.509  000.001  000.001: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
071.516  000.001  000.001: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
071.694  000.001  000.001: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
071.710  000.000  000.000: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
073.333  001.296  001.296: require('vim.filetype')
073.995  000.058  000.058: require('luasnip.util.types')
073.997  000.126  000.068: require('luasnip.util.ext_opts')
074.220  000.057  000.057: require('luasnip.util.lazy_table')
074.281  000.060  000.060: require('luasnip.extras.filetype_functions')
074.286  000.193  000.075: require('luasnip.default_config')
074.288  000.290  000.097: require('luasnip.session')
074.289  000.895  000.480: require('luasnip.config')
